SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
ENERGYDEV,EQ,10.15,10.35,9.85,10.15,10.25,10.15,48918,493113.65,12-AUG-2021,168,INE306C01019,
ENGINERSIN,EQ,73.1,73.4,71.8,71.95,72.1,72.75,2800247,203155592.85,12-AUG-2021,16059,INE510A01028,
ENIL,EQ,204.9,205.9,197.25,199.05,199.25,197.55,64419,13039927.65,12-AUG-2021,1614,INE265F01028,
EPL,EQ,237.4,241.95,237.4,239,238.4,235.8,80969,19378471.75,12-AUG-2021,4359,INE255A01020,
EQ30,EQ,389,393,389,391.03,391,388.95,248,97044.95,12-AUG-2021,80,INF754K01EM9,
EQUITAS,EQ,116,126,116,123.6,123.7,121.95,958176,116884202.25,12-AUG-2021,21629,INE988K01017,
EQUITASBNK,EQ,57,60.85,56.9,60.35,60.6,57.15,1837899,109896793.35,12-AUG-2021,10913,INE063P01018,
ERFLNCDI,N3,960,960.5,950,951.1,951.1,960,162,154628.7,12-AUG-2021,6,INE528S07094,
ERFLNCDI,N4,999.9,999.9,988,988,988,985,252,251867.7,12-AUG-2021,2,INE528S07102,
ERFLNCDI,N5,905,916,902,916,916,905,150,135924,12-AUG-2021,7,INE528S07110,
ERIS,EQ,730,743.65,729.55,738.15,739.7,728.65,66034,48713190.35,12-AUG-2021,8478,INE406M01024,
EROSMEDIA,EQ,19,19.8,19,19.8,19.8,18.9,518162,10196717.3,12-AUG-2021,1538,INE416L01017,
ESABINDIA,EQ,1897,1931.65,1889.45,1903.6,1904.8,1901.4,3781,7208187.85,12-AUG-2021,892,INE284A01012,
ESCORTS,EQ,1261.9,1274.2,1251.9,1265.15,1262.4,1261.9,1085972,1370948312.95,12-AUG-2021,43915,INE042A01014,
ESSARSHPNG,EQ,10,10.4,9.8,10.25,10.35,10.05,60200,610773.85,12-AUG-2021,344,INE122M01019,
ESTER,EQ,144.5,152.8,144,151.2,152.7,143.95,423603,63078487.25,12-AUG-2021,8505,INE778B01029,
EVEREADY,EQ,363.5,372,359.4,362.25,363,362.8,265999,96713620.75,12-AUG-2021,5388,INE128A01029,
EVERESTIND,EQ,447.85,455.05,445.25,448.6,448,446.15,67398,30393614.5,12-AUG-2021,3256,INE295A01018,
EXCEL,BE,3.1,3.35,3.1,3.3,3.35,3.25,40027,128679.65,12-AUG-2021,106,INE688J01015,
EXCELINDUS,EQ,1085.9,1132.1,1085.9,1112,1123,1080.45,23544,26289996.1,12-AUG-2021,3178,INE369A01029,
EXIDEIND,EQ,169.85,170.8,167.5,167.8,168.05,169.15,3867000,652373874.8,12-AUG-2021,46719,INE302A01020,
EXPLEOSOL,BE,1040,1071.05,969.4,1064.55,1070,1020.05,20578,21295447.55,12-AUG-2021,769,INE201K01015,
FACT,EQ,126.6,133,123.5,131.15,131.4,124.05,1616520,209608297.5,12-AUG-2021,21389,INE188A01015,
FAIRCHEMOR,EQ,1909,1997.6,1909,1997.6,1997.6,1902.5,22495,44477605.05,12-AUG-2021,2978,INE0DNW01011,
FCL,EQ,106.35,110.85,106.15,108.75,109,105.4,1111146,120451144.3,12-AUG-2021,14742,INE045J01026,
FCONSUMER,EQ,7.3,7.65,7,7.3,7.3,7.25,6657513,48718896.4,12-AUG-2021,4880,INE220J01025,
FCSSOFT,BE,1.8,1.9,1.8,1.9,1.9,1.85,4176639,7693387.15,12-AUG-2021,4480,INE512B01022,
FDC,EQ,351,368,350,365.35,368,348.45,269698,97654256.6,12-AUG-2021,9343,INE258B01022,
FEDERALBNK,EQ,85.2,86.25,85.1,85.6,85.9,85.2,10443600,894823598.6,12-AUG-2021,34414,INE171A01029,
FEL,EQ,9.1,9.35,8.75,9.05,9.05,8.9,813284,7338317,12-AUG-2021,1395,INE623B01027,
FELDVR,EQ,12.65,12.8,11.8,12.15,12.35,12.4,162471,1993391.25,12-AUG-2021,399,IN9623B01058,
FIEMIND,EQ,724,764,722.3,758.15,755.2,717.8,48914,36621887.25,12-AUG-2021,4322,INE737H01014,
FILATEX,EQ,96,100.5,96,100,100.15,94.55,589941,58407433.75,12-AUG-2021,7359,INE816B01027,
FILDF2GPD,MF,0.91,0.91,0.91,0.91,0.91,0.99,1101,1001.91,12-AUG-2021,23,INF090I01UJ4,
FINCABLES,EQ,488.4,510,488.35,498.75,494.7,488.35,645967,322883189.3,12-AUG-2021,20536,INE235A01022,
FINEORG,EQ,2910,2927.45,2856.15,2871.65,2860,2902.7,35063,101033908.55,12-AUG-2021,9413,INE686Y01026,
FINPIPE,EQ,169.8,169.8,164.5,165.55,166.35,167.3,428452,71536965,12-AUG-2021,12301,INE183A01024,
FLEXITUFF,EQ,18.15,18.7,17.15,17.2,17.4,18.05,81617,1417428.9,12-AUG-2021,369,INE060J01017,
FLFL,EQ,53.75,57.3,53.75,55.95,56.05,54.45,324285,18000514.7,12-AUG-2021,3363,INE452O01016,
FLUOROCHEM,EQ,1638,1710,1618,1695.55,1705,1587.4,83947,140500005.55,12-AUG-2021,6390,INE09N301011,
FMGOETZE,EQ,280.8,291.95,279.05,290.05,288.95,278.2,102357,29249429.55,12-AUG-2021,3261,INE529A01010,
FMNL,EQ,10.05,10.75,9.95,9.95,9.95,10.45,878752,8781178.7,12-AUG-2021,996,INE360L01017,
FOCUS,SM,60.6,63.75,60.6,62.85,63.75,60.75,24000,1513650,12-AUG-2021,8,INE593W01010,
FORCEMOT,EQ,1428,1458,1401.5,1416.65,1415,1389.25,190794,272851007.9,12-AUG-2021,15614,INE451A01017,
FORTIS,EQ,236.85,244.3,233.45,241.25,241.25,235.85,2101244,506467874.75,12-AUG-2021,23823,INE061F01013,
FOSECOIND,EQ,1492.15,1574.9,1481.9,1551.9,1560,1484.7,3178,4895183.8,12-AUG-2021,589,INE519A01011,
FRETAIL,EQ,49.6,51.6,48.65,49.95,49.8,49,2273946,113515680.7,12-AUG-2021,13271,INE752P01024,
FSC,EQ,68.8,72.7,67.65,69.5,68.15,68.8,106885,7474599.7,12-AUG-2021,2154,INE935Q01015,
FSL,EQ,181,205,180.5,202.1,202.75,180.3,16037826,3140599224,12-AUG-2021,117365,INE684F01012,
GABRIEL,EQ,140,153.3,140,149.9,151.4,139.1,3002518,441373203.55,12-AUG-2021,26015,INE524A01029,
GAEL,EQ,176.25,188,175.6,185.15,185.35,174.8,531648,96955712.55,12-AUG-2021,7469,INE036B01030,
GAIL,EQ,147.75,151,146.55,150.65,150.9,147.15,15379819,2302298149.4,12-AUG-2021,62272,INE129A01019,
GAL,EQ,2.8,3.05,2.7,3.05,3.05,2.8,1702946,5081464.8,12-AUG-2021,943,INE482J01021,
GALAXYSURF,EQ,3075,3099,3051.95,3062.95,3075,3075.55,44707,137578709.15,12-AUG-2021,7887,INE600K01018,
GALLANTT,EQ,70.7,75.4,70.6,73,73.8,70.05,117130,8636405.7,12-AUG-2021,3484,INE297H01019,
GALLISPAT,EQ,59,60.85,58.75,59.5,59.5,58.55,75886,4539105.3,12-AUG-2021,2171,INE528K01029,
GAMMNINFRA,BE,1.75,1.85,1.75,1.85,1.85,1.8,1925899,3410129.3,12-AUG-2021,1301,INE181G01025,
GANDHITUBE,EQ,477.9,499.7,477.9,491.9,492.85,456,65010,31871090.85,12-AUG-2021,4825,INE524B01027,
GANECOS,EQ,521.95,533.95,516.95,530.4,532.6,514,20070,10594026.45,12-AUG-2021,1342,INE845D01014,
GANESHHOUC,EQ,115.7,117.85,114.05,116.5,116.5,116.5,17856,2073219.3,12-AUG-2021,254,INE460C01014,
GANGAFORGE,EQ,115.2,121.8,115.2,121.25,120.8,120.1,69744,8444322.35,12-AUG-2021,371,INE691Z01015,
GANGESSECU,EQ,81.95,84.9,77.9,83.7,83.95,77.25,8125,667766.6,12-AUG-2021,435,INE335W01016,
GARFIBRES,EQ,3265,3312,3187.3,3289.85,3275,3241.9,30647,99272653.7,12-AUG-2021,5897,INE276A01018,
GATI,EQ,147.5,153.75,146.5,151.4,151,146.55,1054075,158893036.05,12-AUG-2021,14904,INE152B01027,
GAYAPROJ,EQ,39.6,43.1,39.35,41.65,41.7,39.2,1888601,77982242.8,12-AUG-2021,6416,INE336H01023,
GDL,BE,272,277.9,260.2,272.2,272.45,271.95,33444,9138321.3,12-AUG-2021,735,INE852F01015,
GEECEE,EQ,144,156.9,142.7,148.15,146.5,143.65,46493,6908581.5,12-AUG-2021,3569,INE916G01016,
GEEKAYWIRE,EQ,90.3,93.05,87.55,88.35,88.5,91.9,47338,4212248.55,12-AUG-2021,757,INE669X01016,
GENCON,EQ,45.55,46.85,44.3,45.6,46.7,44.5,18135,817925.15,12-AUG-2021,293,INE854S01022,
GENESYS,EQ,145.9,148.85,140.05,145.1,146.65,142.15,15349,2197808.5,12-AUG-2021,285,INE727B01026,
GENUSPAPER,BE,10.3,10.55,9.6,10.55,10.55,10.05,338911,3401884.7,12-AUG-2021,608,INE949P01018,
GENUSPOWER,EQ,56.9,66.3,56.7,63,62.9,56.55,2510262,157673387,12-AUG-2021,17718,INE955D01029,
GEOJITFSL,EQ,84.95,85.9,82,84.95,84.9,80.5,649981,54601235.45,12-AUG-2021,7140,INE007B01023,
GEPIL,EQ,298.6,307.4,285.1,304.8,306.55,318.95,577196,173922598.85,12-AUG-2021,14999,INE878A01011,
GESHIP,EQ,307.9,314.3,307.1,313.05,312,304.3,418713,130151906.4,12-AUG-2021,26069,INE017A01032,
GET&D,EQ,135,139,134.55,137.2,137,133.1,140811,19278333.75,12-AUG-2021,2879,INE200A01026,
GFLLIMITED,EQ,68,70,68,69.65,69.75,67.9,66022,4557562.7,12-AUG-2021,1323,INE538A01037,
GFSTEELS,BE,2.95,2.95,2.85,2.85,2.85,2.95,45,128.75,12-AUG-2021,2,INE534A01028,
GHCL,EQ,351.05,365,350.05,354.4,357.15,348.05,245837,87894384.45,12-AUG-2021,9574,INE539A01019,
GICHSGFIN,EQ,158.15,161.85,151.9,155.7,156,169.7,1843717,289947443.05,12-AUG-2021,20898,INE289B01019,
GICRE,EQ,165,167.95,164.1,166.45,167,164.3,385269,63793742.05,12-AUG-2021,10694,INE481Y01014,
GILLANDERS,BE,46,48.95,45,48.95,48.95,46.65,7571,367604.4,12-AUG-2021,41,INE047B01011,
GILLETTE,EQ,5899,5936.05,5860.05,5892.2,5860.05,5893.1,12926,76294576.8,12-AUG-2021,1747,INE322A01010,
GINNIFILA,EQ,32.05,33.7,31.55,32.4,32.3,31.6,178322,5844445.2,12-AUG-2021,1293,INE424C01010,
GIPCL,EQ,88.35,89.9,87.7,89.3,89.7,87.6,424404,37714607.9,12-AUG-2021,4667,INE162A01010,
GIRIRAJ,SM,78.8,78.8,78.8,78.8,78.8,82.9,1200,94560,12-AUG-2021,1,INE614Z01017,
GKWLIMITED,EQ,698.4,709.8,682.05,701.45,701.1,694.2,389,271955.3,12-AUG-2021,73,INE528A01020,
GLAND,EQ,4154.9,4350,4092.15,4316.25,4310,4150.15,446729,1908329634.55,12-AUG-2021,29356,INE068V01023,
GLAXO,EQ,1610.1,1637.95,1605,1607.95,1610.85,1619.25,32837,53034207.8,12-AUG-2021,4257,INE159A01016,
GLENMARK,EQ,580.9,583.3,567.6,570.6,570.4,578.4,1232132,708065827.9,12-AUG-2021,40098,INE935A01035,
GLFL,EQ,2.75,2.8,2.75,2.8,2.8,2.75,791,2209.8,12-AUG-2021,6,INE540A01017,
GLOBAL,EQ,45,48.25,45,47.1,48,46.65,7450,350734.15,12-AUG-2021,76,INE291W01011,
GLOBALVECT,EQ,51.1,55.85,51.1,55.35,55.45,53.25,29183,1606931.7,12-AUG-2021,522,INE792H01019,
GLOBE,BE,12.25,12.25,12.25,12.25,12.25,12.85,61400,752150,12-AUG-2021,535,INE581X01021,
GLOBUSSPR,BE,896.2,896.2,885.4,896.2,896.2,853.55,247729,221877320.8,12-AUG-2021,4266,INE615I01010,
GLOBUSSPR,BL,862.05,862.05,862.05,862.05,862.05,822.9,337000,290510850,12-AUG-2021,2,INE615I01010,
GLS,EQ,751.75,767.1,748,751.95,753.25,748,502395,380155893.55,12-AUG-2021,21026,INE03Q201024,
GMBREW,EQ,540.1,585,540.1,576.75,576.6,540.1,142621,81718483,12-AUG-2021,7895,INE075D01018,
GMDCLTD,EQ,64.15,67.65,64.1,66.65,67.3,64.1,899718,59427845.85,12-AUG-2021,5626,INE131A01031,
GMMPFAUDLR,EQ,4572,4685,4568,4667.15,4682,4568.1,26534,123163664.15,12-AUG-2021,6430,INE541A01023,
GMRINFRA,EQ,28,28.45,27.95,28.15,28.2,27.95,7524472,212099932.25,12-AUG-2021,14170,INE776C01039,
GNA,EQ,681,719.7,680.95,707.65,706.3,671.6,204656,144185960.75,12-AUG-2021,8731,INE934S01014,
GNFC,EQ,349.9,359.65,349.5,357.25,357.05,346.45,309933,110210951.35,12-AUG-2021,8616,INE113A01013,
GOACARBON,EQ,394.9,408.8,394.9,403.3,402.1,388.2,52172,21007622.5,12-AUG-2021,2308,INE426D01013,
GOCLCORP,EQ,296,315.95,294.3,309.3,314,291.55,521671,160271392.7,12-AUG-2021,10596,INE077F01035,
GODFRYPHLP,EQ,988.1,1020,980,1014.65,1015.1,985.15,47176,47531841.55,12-AUG-2021,3477,INE260B01028,
GODHA,BE,39.25,39.25,37.3,37.3,37.3,39.25,37,1446.65,12-AUG-2021,4,INE925Y01010,
GODREJAGRO,EQ,648.1,677.35,648.1,663.35,659.85,646.85,284960,190028223.9,12-AUG-2021,11768,INE850D01014,
GODREJCP,EQ,978.85,992.45,974.7,990.8,990.5,979.8,612459,605297814.3,12-AUG-2021,18686,INE102D01028,
GODREJIND,EQ,566,577.8,560.6,566.15,567,565.5,245484,139639832.7,12-AUG-2021,6821,INE233A01035,
GODREJPROP,EQ,1530,1568.5,1520.95,1557,1555.4,1546,463899,719807509.05,12-AUG-2021,20447,INE484J01027,
GOENKA,BZ,1.15,1.2,1.15,1.15,1.2,1.2,240784,279185.3,12-AUG-2021,148,INE516K01024,
GOKEX,EQ,220,226.1,216,220.3,221,217.95,194098,43087693.35,12-AUG-2021,4357,INE887G01027,
GOKUL,EQ,28.05,34.35,28.05,31.4,31.35,28.65,683388,22083486.5,12-AUG-2021,3891,INE020J01029,
GOKULAGRO,EQ,41.3,43.5,40.5,42.8,43.2,40,854906,36293625.2,12-AUG-2021,2388,INE314T01025,
GOLDBEES,EQ,40.94,40.94,39.88,40.56,40.56,40.26,3244252,131562734.21,12-AUG-2021,15033,INF204KB17I5,
GOLDENTOBC,EQ,109.9,114.8,109.4,109.4,109.4,115.15,97184,10670961.15,12-AUG-2021,815,INE973A01010,
GOLDIAM,EQ,687.95,725,687.95,696.75,696.9,679.7,201186,142016241.5,12-AUG-2021,9855,INE025B01017,
GOLDSHARE,EQ,40.75,41.1,40.55,40.95,40.95,40.4,183859,7523513.65,12-AUG-2021,469,INF789F1AUX7,
GOLDSTAR,SM,20,20,20,20,20,20,6000,120000,12-AUG-2021,1,INE405Y01013,
GOLDTECH,EQ,13.95,14.6,13.95,14.6,14.6,13.95,65052,935645.6,12-AUG-2021,197,INE805A01014,
GOODLUCK,EQ,290,298.35,287,290.9,291.3,284.15,189812,55807422.65,12-AUG-2021,4961,INE127I01024,
GOODYEAR,EQ,1050,1103.1,1048.4,1093.45,1098,1050,42300,45725644.4,12-AUG-2021,4459,INE533A01012,
GPIL,BE,1415,1420,1360,1396,1399,1411.65,60956,84966041.55,12-AUG-2021,2973,INE177H01013,
GPPL,EQ,101.3,105,101.25,104.4,103.9,100.95,300654,31145311.75,12-AUG-2021,5017,INE517F01014,
GPTINFRA,EQ,90,92.95,86.1,88.85,88.25,85.55,30141,2706725.6,12-AUG-2021,761,INE390G01014,
GRANULES,EQ,369.7,378.05,364.25,372.5,372,367.65,1959215,727902579.3,12-AUG-2021,23620,INE101D01020,
GRAPHITE,EQ,667.1,683.95,667.05,677.15,677.5,665.3,467428,316187868.25,12-AUG-2021,16470,INE371A01025,
GRASIM,EQ,1499.8,1515,1488.65,1492.3,1492.75,1502.4,506910,761158800.7,12-AUG-2021,26770,INE047A01021,
GRAUWEIL,EQ,63.7,66.55,61,65.15,65.3,60.35,283000,18106562.7,12-AUG-2021,4165,INE266D01021,
GRAVITA,EQ,174.4,182.5,173.05,179.8,182,171.6,201227,35887689.1,12-AUG-2021,3622,INE024L01027,
GREAVESCOT,EQ,144.2,151.9,142.85,143.6,144,145,4087306,598392651.9,12-AUG-2021,35932,INE224A01026,
GREENLAM,EQ,1320,1342.95,1301.25,1316.2,1317.75,1317.55,5952,7866439.3,12-AUG-2021,1134,INE544R01013,
GREENPANEL,BE,240,252,238,249.85,250.5,242.2,180457,44426864.8,12-AUG-2021,1876,INE08ZM01014,
GREENPLY,EQ,174.8,185,174.5,181.3,180.3,174.15,444031,79756767,12-AUG-2021,6830,INE461C01038,
GREENPOWER,EQ,3.1,3.2,3.05,3.2,3.2,3.05,3197150,10133968.8,12-AUG-2021,1376,INE999K01014,
GRINDWELL,EQ,1219.85,1244,1218,1237.5,1239,1217.85,38240,47055980.05,12-AUG-2021,5007,INE536A01023,
GRINFRA,EQ,1620.25,1661.95,1620.25,1650.1,1649,1620.2,71501,117971330.95,12-AUG-2021,6685,INE201P01022,
GROBTEA,EQ,1148.05,1229,1130.95,1200.4,1188,1162.8,4188,5047349.8,12-AUG-2021,1384,INE646C01018,
GRPLTD,EQ,979.5,1011.9,961.45,994.85,1001,959.5,2283,2271969.1,12-AUG-2021,450,INE137I01015,
GRSE,EQ,187,194,187,192.5,192.2,186.6,148467,28310360.15,12-AUG-2021,3586,INE382Z01011,
GSCLCEMENT,EQ,55.9,57.65,54.55,55.3,55.5,55.8,657496,36837398.9,12-AUG-2021,7736,INE542A01039,
GSFC,EQ,114,114.4,109.35,109.75,109.6,111.8,4063465,451741326.05,12-AUG-2021,20043,INE026A01025,
GSPL,EQ,341,355,339.15,350.9,352.05,338.65,2500848,876925476.5,12-AUG-2021,34249,INE246F01010,
GSS,EQ,64.9,68,64.9,66.5,66.55,65,120303,8010158.15,12-AUG-2021,2341,INE871H01011,
GTL,BE,15.85,16.85,15.85,15.95,16,16.65,541792,8671659.8,12-AUG-2021,1790,INE043A01012,
GTLINFRA,BE,2.55,2.75,2.55,2.65,2.7,2.65,48036632,124860334.45,12-AUG-2021,16643,INE221H01019,
GTNTEX,EQ,7.8,7.8,7.8,7.8,7.8,7.75,300,2340,12-AUG-2021,5,INE302H01017,
GTPL,EQ,213.5,228.5,213.5,221.5,223.9,212.45,271949,60436736,12-AUG-2021,8330,INE869I01013,
GUFICBIO,EQ,201,224.4,195,217.8,217.65,192.1,5044432,1061844855.1,12-AUG-2021,69510,INE742B01025,
GUJALKALI,EQ,487,506.5,486.75,495.2,492.9,488.15,745744,370296428.75,12-AUG-2021,18570,INE186A01019,
GUJAPOLLO,EQ,231.7,234.1,225.1,226.9,227.95,226.95,15854,3653540.85,12-AUG-2021,1973,INE826C01016,
GUJGASLTD,EQ,727,746.7,725,742.55,744.55,724.95,1885627,1394830702.25,12-AUG-2021,55831,INE844O01030,
GUJRAFFIA,BE,36.25,38.2,36.25,37.55,37.55,38.15,7151,263695.55,12-AUG-2021,110,INE610B01024,
GULFOILLUB,EQ,621,630,611,613,613.7,613.4,43662,26970944.75,12-AUG-2021,2725,INE635Q01029,
GULFPETRO,EQ,58.95,63,56.1,61.05,59.6,57.65,75716,4515142.4,12-AUG-2021,1890,INE586G01017,
GULPOLY,BE,240,247.95,226,247.95,247.95,236.15,37336,9074920.5,12-AUG-2021,559,INE255D01024,
HAL,EQ,1082.1,1113.95,1075,1104.5,1112,1094.65,291074,321479755.8,12-AUG-2021,16889,INE066F01012,
HAPPSTMNDS,EQ,1378.8,1425,1378.4,1390.35,1392.05,1374.85,976678,1369355061.2,12-AUG-2021,51400,INE419U01012,
HARRMALAYA,EQ,194,220.5,193.95,213.35,213,192.7,634228,134530155,12-AUG-2021,23275,INE544A01019,
HATHWAY,EQ,24.85,25.45,24.65,25.35,25.3,24.65,3475027,87413452.45,12-AUG-2021,6528,INE982F01036,
HATSUN,EQ,933.5,965,927.55,940.1,942.3,931.75,69446,65843011.55,12-AUG-2021,6724,INE473B01035,
HAVELLS,EQ,1254,1255.6,1226.05,1231.9,1231.5,1236.75,2264764,2799377977.7,12-AUG-2021,53135,INE176B01034,
HAVISHA,BE,1.5,1.5,1.5,1.5,1.5,1.55,27509,41263.5,12-AUG-2021,71,INE293B01029,
HBANKETF,EQ,359.4,359.94,356.61,357.99,359.94,356.9,581,207754.8,12-AUG-2021,55,INF179KC1AN8,
HBLPOWER,EQ,43.05,51.45,43.05,51.35,51.45,42.9,3400800,168192576.55,12-AUG-2021,14444,INE292B01021,
HBSL,EQ,45.05,45.05,43.75,45.05,45.05,42.95,34112,1535307.8,12-AUG-2021,259,INE550B01022,
HCC,EQ,9.3,9.7,9.3,9.7,9.7,9.25,2140870,20528177.4,12-AUG-2021,2733,INE549A01026,
HCG,EQ,248.3,258,248.3,253.4,256,245.55,376240,95768119.1,12-AUG-2021,7267,INE075I01017,
HCL-INSYS,EQ,12.95,13.65,12.45,13.65,13.6,13,1991792,26355573.55,12-AUG-2021,4597,INE236A01020,
HCLTECH,EQ,1071,1101.15,1068,1096.5,1093,1066.95,6540144,7110138443.15,12-AUG-2021,189459,INE860A01027,
HDFC,EQ,2656.6,2675.25,2646.6,2668.75,2666,2658.5,1702479,4532596291.9,12-AUG-2021,61672,INE001A01036,
HDFC,W3,784.7,784.7,770,777.8,777,770,8400,6520350,12-AUG-2021,14,INE001A13049,
HDFCAMC,EQ,2939,2973.95,2925.05,2970.6,2966.05,2946.25,181456,537214110.25,12-AUG-2021,10278,INE127D01025,
HDFCBANK,EQ,1497,1507.6,1489.3,1501.4,1504,1494.95,4298837,6442566924.55,12-AUG-2021,118442,INE040A01034,
HDFCLIFE,EQ,666.5,675.9,665.4,674.95,673.3,666.65,1822952,1225461167,12-AUG-2021,53995,INE795G01014,
HDFCMFGETF,EQ,41.85,41.85,41.36,41.63,41.58,41.31,401494,16693640.24,12-AUG-2021,1168,INF179KC1981,
HDFCNIFETF,EQ,174.1,174.2,172.8,173.91,174.09,173.22,7945,1380067.68,12-AUG-2021,266,INF179KC1965,
HDFCSENETF,EQ,574.15,587.99,574.15,585.52,587.88,585.84,1971,1155572.85,12-AUG-2021,164,INF179KC1973,
HDIL,BZ,4.55,4.9,4.55,4.85,4.8,4.7,340305,1629966.55,12-AUG-2021,404,INE191I01012,
HEG,EQ,2286.75,2326.75,2259,2278.35,2284.9,2226.95,203282,464440013.95,12-AUG-2021,19476,INE545A01016,
HEIDELBERG,EQ,260.9,266.5,260.9,265.9,266,260.5,190442,50338898.2,12-AUG-2021,3438,INE578A01017,
HEMIPROP,EQ,135,141.85,135,138.5,138,134.25,807245,112193202.6,12-AUG-2021,9376,INE0AJG01018,
HEOFRG1126,MF,12.41,12.41,12.41,12.41,12.41,11.95,106,1315.46,12-AUG-2021,3,INF179KC1AH0,
HERANBA,EQ,800,853.3,793,844.95,850,796.55,1270491,1049084219.55,12-AUG-2021,33442,INE694N01015,
HERCULES,EQ,147,155.25,146.9,152.3,152.9,146.05,129030,19560654.4,12-AUG-2021,3678,INE688E01024,
HERITGFOOD,EQ,474.75,490,474.7,485.3,485.2,473.05,72799,35195829.85,12-AUG-2021,3652,INE978A01027,
HEROMOTOCO,EQ,2800,2801.25,2775,2782.95,2782.55,2781.6,410605,1143852918.1,12-AUG-2021,32067,INE158A01026,
HESTERBIO,EQ,2229,2547,2229,2415.05,2430,2201.65,501846,1223864567.1,12-AUG-2021,55137,INE782E01017,
HEXATRADEX,EQ,183.55,183.55,183.55,183.55,183.55,174.85,47824,8778095.2,12-AUG-2021,88,INE750M01017,
HFCL,BE,65.8,68.55,65,68.25,68.55,65.3,3002807,203335223.35,12-AUG-2021,11642,INE548A01028,
HGINFRA,EQ,550,558.5,536.25,542.45,543.35,528.35,154297,83828449.25,12-AUG-2021,9174,INE926X01010,
HGS,BE,3555,3555,3250,3485.9,3470,3390.75,160685,554282946.3,12-AUG-2021,5804,INE170I01016,
HIKAL,EQ,654,710,650.85,701.3,705,647.25,2072942,1422506202.65,12-AUG-2021,65386,INE475B01022,
HIL,EQ,5578.6,5809.2,5545,5701.55,5700,5539.1,29046,166345084.85,12-AUG-2021,5884,INE557A01011,
HILTON,EQ,12.15,12.95,11.85,12.95,12.95,12.35,12319,153895.55,12-AUG-2021,146,INE788H01017,
HIMATSEIDE,BE,244.4,252.65,237.85,252.65,252.65,240.65,152950,37826517.85,12-AUG-2021,1534,INE049A01027,
HINDALCO,EQ,436.9,444.3,433.85,437.25,437.55,436.65,8349354,3659300785,12-AUG-2021,96870,INE038A01020,
HINDCOMPOS,EQ,309.8,335,299.35,326.3,326,296.6,61620,19834418.5,12-AUG-2021,2658,INE310C01029,
HINDCON,EQ,64.9,66.8,63.65,66.8,66.8,63.65,25820,1714405.75,12-AUG-2021,295,INE642Y01011,
HINDCOPPER,EQ,130,134.6,129.1,133.45,134.2,128.7,2677180,353716319.8,12-AUG-2021,18746,INE531E01026,
HINDMOTORS,EQ,8.8,8.85,8.25,8.55,8.6,8.9,397771,3381225.95,12-AUG-2021,1258,INE253A01025,
HINDNATGLS,BE,39.9,42,39,42,42,40,12322,509449.85,12-AUG-2021,110,INE952A01022,
HINDOILEXP,EQ,152.5,158.5,151.45,154.05,154.6,151,656778,101885065.1,12-AUG-2021,10077,INE345A01011,
HINDPETRO,EQ,258.5,260.7,253.55,255.2,255.95,258.9,4073140,1043939319.65,12-AUG-2021,50652,INE094A01015,
HINDUNILVR,EQ,2395,2413.5,2377.45,2392.3,2395,2390.45,1226064,2936469266.3,12-AUG-2021,67754,INE030A01027,
HINDZINC,EQ,319,321.95,315.7,319.8,319.4,316.15,893026,285287613.95,12-AUG-2021,18531,INE267A01025,
HIRECT,EQ,150.25,167.1,148,159.25,159,148.05,112959,17985013.2,12-AUG-2021,4492,INE835D01023,
HISARMETAL,EQ,131.95,137.7,127.7,136.2,137,127.5,43927,5880589.55,12-AUG-2021,1897,INE598C01011,
HITECH,EQ,595,603,578.05,589.8,590,576.9,60546,35897536.4,12-AUG-2021,2218,INE106T01017,
HITECHCORP,EQ,215.95,222,215.1,219.3,219.5,210.65,9000,1973568.8,12-AUG-2021,273,INE120D01012,
HITECHGEAR,EQ,268,295.6,268,290.85,289.8,275.6,31137,9000259.8,12-AUG-2021,1636,INE127B01011,
HLEGLAS,EQ,3170,3235.05,3170,3220.15,3227.1,3165.65,4479,14370388.2,12-AUG-2021,1478,INE461D01010,
HLVLTD,EQ,8.55,9.1,8.55,8.9,8.8,8.5,249403,2212185.9,12-AUG-2021,632,INE102A01024,
HMT,BZ,30.3,31,29.5,30.25,31,30.25,9265,279562.95,12-AUG-2021,105,INE262A01018,
HMVL,EQ,78.4,80.9,78.1,80.5,80.35,78.3,109251,8734617.95,12-AUG-2021,2434,INE871K01015,
HNDFDS,BE,1900,1980,1870,1940.55,1940,1887.15,4949,9527705.8,12-AUG-2021,834,INE254N01018,
HNGSNGBEES,EQ,315,334.46,315,330.63,330,333.5,1625,539847.21,12-AUG-2021,132,INF204KB19I1,
HOMEFIRST,EQ,564.75,582.9,563.7,576.3,576.1,560.75,114167,65345750.45,12-AUG-2021,3219,INE481N01025,
HONAUT,EQ,40700,40800,40289.1,40426.35,40505,40140.75,1071,43338260.35,12-AUG-2021,749,INE671A01010,
HONDAPOWER,EQ,1240,1295,1235,1264.8,1252,1220,51479,65286062.7,12-AUG-2021,5353,INE634A01018,
HOVS,BE,69.45,72.9,69,72.9,72.9,69.45,5867,421306.25,12-AUG-2021,82,INE596H01014,
